iter	Passed	Remaining
0	134	133904
1	137	68524
2	139	46501
3	142	35513
4	145	28909
5	147	24514
6	150	21386
7	153	19090
8	156	17260
9	159	15801
10	162	14593
11	165	13590
12	168	12760
13	171	12053
14	173	11423
15	176	10867
16	179	10381
17	182	9950
18	185	9585
19	188	9227
20	191	8911
21	193	8618
22	196	8349
23	199	8119
24	202	7898
25	205	7685
26	207	7488
27	210	7305
28	213	7139
29	216	6999
30	220	6877
31	222	6740
32	225	6615
33	228	6498
34	231	6394
35	234	6287
36	237	6182
37	240	6086
38	243	5995
39	246	5910
40	249	5836
41	252	5758
42	255	5685
43	258	5612
44	261	5540
45	263	5474
46	267	5419
47	270	5355
48	272	5296
49	275	5242
50	279	5192
51	282	5147
52	285	5098
53	288	5046
54	290	4997
55	293	4951
56	296	4908
57	299	4865
58	302	4821
59	305	4782
60	308	4742
61	310	4703
62	313	4668
63	316	4634
64	319	4601
65	322	4567
66	325	4534
67	327	4490
68	330	4462
69	333	4429
70	336	4402
71	339	4370
72	341	4341
73	344	4314
74	347	4286
75	350	4257
76	353	4231
77	355	4205
78	358	4179
79	361	4156
80	364	4131
81	366	4105
82	369	4083
83	371	4051
84	374	4027
85	377	4009
86	380	3992
87	383	3973
88	386	3952
89	389	3933
90	391	3914
91	394	3896
92	397	3878
93	400	3859
94	403	3841
95	406	3824
96	408	3806
97	411	3791
98	414	3776
99	417	3759
100	420	3741
101	423	3724
102	426	3710
103	428	3695
104	431	3679
105	434	3664
106	437	3648
107	439	3633
108	442	3620
109	444	3599
110	447	3585
111	450	3572
112	453	3558
113	455	3540
114	458	3527
115	461	3515
116	464	3502
117	466	3490
118	469	3477
119	472	3465
120	475	3457
121	478	3446
122	481	3435
123	484	3422
124	487	3411
125	490	3403
126	493	3393
127	496	3382
128	499	3373
129	502	3363
130	505	3351
131	508	3341
132	510	3330
133	513	3319
134	516	3309
135	519	3297
136	521	3287
137	524	3277
138	527	3266
139	530	3257
140	533	3247
141	535	3237
142	538	3227
143	541	3221
144	544	3212
145	547	3202
146	550	3193
147	553	3183
148	555	3174
149	558	3167
150	561	3159
151	564	3150
152	567	3142
153	570	3133
154	573	3126
155	576	3117
156	578	3107
157	581	3098
158	584	3090
159	586	3081
160	589	3074
161	592	3066
162	595	3058
163	598	3050
164	601	3041
165	603	3033
166	606	3027
167	609	3019
168	612	3012
169	615	3005
170	618	2997
171	621	2991
172	624	2984
173	626	2976
174	629	2969
175	632	2961
176	635	2953
177	638	2946
178	640	2938
179	643	2931
180	645	2922
181	648	2915
182	651	2906
183	654	2901
184	657	2894
185	659	2887
186	662	2879
187	664	2871
188	667	2864
189	670	2859
190	673	2852
191	676	2845
192	678	2838
193	681	2831
194	684	2825
195	687	2820
196	690	2813
197	693	2808
198	696	2801
199	698	2795
200	701	2789
201	704	2783
202	707	2777
203	710	2770
204	712	2764
205	715	2757
206	718	2752
207	721	2746
208	723	2739
209	726	2732
210	729	2727
211	732	2720
212	734	2715
213	737	2709
214	740	2703
215	743	2697
216	745	2691
217	748	2685
218	751	2680
219	754	2676
220	757	2670
221	760	2665
222	763	2659
223	765	2653
224	768	2648
225	771	2642
226	774	2636
227	777	2631
228	780	2626
229	783	2622
230	786	2618
231	789	2612
232	792	2607
233	794	2601
234	797	2596
235	801	2593
236	804	2589
237	806	2582
238	809	2578
239	812	2571
240	814	2566
241	817	2561
242	820	2555
243	823	2550
244	825	2545
245	828	2539
246	831	2534
247	833	2528
248	836	2523
249	839	2517
250	841	2512
251	844	2507
252	848	2503
253	851	2499
254	853	2494
255	856	2488
